attributed_touch_type,attributed_touch_time,install_time,event_name,attribute_id,media_source,channel,campaign,event_source,is_retargeting,platform,app_version,sdk_version,app_name
,,2022-05-30,install,attribute-24f69bcb-466b-4c3c-b871-7ee778f69d3e,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-06,install,attribute-00bd8cc2-aef9-430d-8ed9-e9d498c38dbc,,,,SDK,FALSE,ios,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-18,install,attribute-096ec43e-3767-491c-80d7-8a0844342614,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-24,install,attribute-bddb2b75-bce5-44de-a9ef-7a8f0905058f,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-13,install,attribute-b3a27457-e5c0-486d-84e4-201e9fd8469f,,,,SDK,FALSE,ios,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-30,install,attribute-d026fee7-2678-4e3b-8ddc-9c02af9caf42,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-03,install,attribute-100c537d-4219-4d4c-8162-48efdc143c0d,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-20,install,attribute-c97b6aab-b618-4a89-9673-718136a87e93,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-08,install,attribute-ffd27d30-5a61-409d-9efe-5cf8ba50098d,,,,SDK,FALSE,ios,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-29,install,attribute-ad07bec6-dfb8-4f98-a05e-77c01a5b7b2d,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-10,install,attribute-4e4da716-5974-4791-a86a-3ae977f615d3,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-08,install,attribute-3a40d893-a468-4c19-b944-df37e448cfe4,,,,SDK,FALSE,ios,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-08,install,attribute-45025ad1-7521-46a0-96cc-84c922cda1e1,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-21,install,attribute-c58c69bb-13f2-4401-8823-e2cc0252f260,,,,SDK,FALSE,ios,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-20,install,attribute-17a065c3-c3fc-4610-93f5-9316de7ada3a,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-27,install,attribute-f8fdec41-4f15-48e1-be75-68f475d1d116,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-30,install,attribute-4d78d1b6-8511-42e2-b852-ab8edac74937,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-28,install,attribute-a5320c04-eb0f-4778-8377-ac5621569ccd,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-04,install,attribute-91f3be4e-a4ec-4b0a-baa6-4ec1259af693,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-18,install,attribute-c2bce24e-8372-44f8-b646-8979054f5586,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-18,install,attribute-6352aff3-d7f3-44ed-a29e-8786447649f5,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-03,install,attribute-52e3f171-1873-4625-bbcf-25de19d34e44,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-27,install,attribute-a268b9fc-bb9e-41c9-9718-21fd4e0e8093,,,,SDK,FALSE,android,3.2.0,v7.4.1,localfarm - hyper local commerce!
,,2022-05-30,install,attribute-c20c46f3-7794-4a94-9045-df225675c668,,,,SDK,FALSE,ios,3.2.0,v7.4.1,localfarm - hyper local commerce!
